Stellar,Mass,Luminosity,Radius,Temp,Color Index,Abs Mag,Bolo Corr,Bolo Mag,Star Color
R9II,8.2,3.96E+03,1.58E+02,3700,1.41,-2.6,-1.65,-4.25,255 207 133
R9III,5.6,6.89E+02,6.58E+01,3700,1.41,-0.7,-1.65,-2.35,255 203 132
R9IV,3.1,2.60E+01,1.43E+01,3500,1.49,3.2,-1.99,1.21,255 213 160
R9V,0.5,1.25E-01,9.90E-01,3500,1.49,9,-1.99,7.01,255 195 139
R9VI,0.2,3.76E-02,5.44E-01,3500,1.49,10.3,-1.99,8.31,255 195 139
C0Ia0,12,8.13E+05,1.42E+03,4669,1.03,-9.4,-0.62,-10.02,255 231 193
C0Ia,10.2,1.70E+05,6.49E+02,4669,1.03,-7.7,-0.62,-8.32,255 231 193
C0Ib,8.3,9.77E+03,1.56E+02,4669,1.03,-4.6,-0.62,-5.22,255 231 193
C0II,6.5,1.29E+03,5.65E+01,4669,1.03,-2.4,-0.62,-3.02,255 237 209
C0III,4.6,8.91E+01,1.49E+01,4669,1.03,0.5,-0.62,-0.12,255 243 233
C0IV,2.8,6.20E+00,2.76E+00,5560,0.75,3,-0.23,2.77,255 245 238
C0V,0.9,9.82E-01,1.10E+00,5560,0.75,5,-0.23,4.77,255 241 229
C0VI,0.8,2.97E-01,6.05E-01,5560,0.75,6.3,-0.23,6.07,255 241 229
C1Ia0,12.7,1.10E+06,1.88E+03,4371,1.14,-9.5,-0.85,-10.35,255 222 172
C1Ia,10.8,1.91E+05,7.85E+02,4371,1.14,-7.6,-0.85,-8.45,255 222 172
C1Ib,8.8,1.20E+04,1.97E+02,4371,1.14,-4.6,-0.85,-5.45,255 222 172
C1II,6.8,1.59E+03,7.16E+01,4371,1.14,-2.4,-0.85,-3.25,255 232 196
C1III,4.8,1.32E+02,2.06E+01,4371,1.14,0.3,-0.85,-0.55,255 242 224
C1IV,2.8,7.00E+00,3.41E+00,5164,0.87,3,-0.36,2.64,255 241 228
C1V,0.8,6.39E-01,1.03E+00,5164,0.87,5.6,-0.36,5.24,255 235 218
C1VI,0.7,1.76E-01,5.40E-01,5164,0.87,7,-0.36,6.64,255 235 218
C2Ia0,13.5,1.31E+06,2.37E+03,4073,1.25,-9.4,-1.15,-10.55,255 214 150
C2Ia,11.4,2.28E+05,9.89E+02,4073,1.25,-7.5,-1.15,-8.65,255 214 150
C2Ib,9.2,1.73E+04,2.72E+02,4073,1.25,-4.7,-1.15,-5.85,255 214 150
C2II,7.1,2.28E+03,9.89E+01,4073,1.25,-2.5,-1.15,-3.65,255 226 183
C2III,5,2.08E+02,2.99E+01,4073,1.25,0.1,-1.15,-1.05,255 241 215
C2IV,2.9,7.67E+00,4.18E+00,4769,1,3.1,-0.56,2.54,255 236 218
C2V,0.8,2.78E-01,7.97E-01,4769,1,6.7,-0.56,6.14,255 228 207
C2VI,0.7,1.33E-01,5.51E-01,4769,1,7.5,-0.56,6.94,255 228 207
C3Ia0,14.2,1.71E+06,3.15E+03,3776,1.37,-9.3,-1.53,-10.83,255 206 129
C3Ia,12,2.97E+05,1.31E+03,3776,1.37,-7.4,-1.53,-8.93,255 206 129
C3Ib,9.7,2.47E+04,3.78E+02,3776,1.37,-4.7,-1.53,-6.23,255 206 129
C3II,7.4,3.57E+03,1.44E+02,3776,1.37,-2.6,-1.53,-4.13,255 221 170
C3III,5.2,3.57E+02,4.55E+01,3776,1.37,-0.1,-1.53,-1.63,255 240 207
C3IV,2.9,1.00E+01,5.68E+00,4373,1.14,3.1,-0.85,2.25,255 232 209
C3V,0.7,1.20E-01,6.23E-01,4373,1.14,7.9,-0.85,7.05,255 222 196
C3VI,0.6,9.12E-02,5.42E-01,4373,1.14,8.2,-0.85,7.35,255 222 196
C4Ia0,15,2.71E+06,4.67E+03,3478,1.5,-9.3,-2.03,-11.33,255 198 107
C4Ia,12.6,4.29E+05,1.86E+03,3478,1.5,-7.3,-2.03,-9.33,255 198 107
C4Ib,10.2,4.29E+04,5.88E+02,3478,1.5,-4.8,-2.03,-6.83,255 198 107
C4II,7.8,6.20E+03,2.23E+02,3478,1.5,-2.7,-2.03,-4.73,255 216 157
C4III,5.4,6.80E+02,7.40E+01,3478,1.5,-0.3,-2.03,-2.33,255 239 198
C4IV,3,1.46E+01,8.28E+00,3978,1.29,3.1,-1.26,1.84,255 227 199
C4V,0.6,6.36E-02,5.47E-01,3978,1.29,9,-1.26,7.74,255 215 185
C4VI,0.5,6.36E-02,5.47E-01,3978,1.29,9,-1.26,7.74,255 215 185
C5Ia0,15.7,4.94E+06,7.55E+03,3180,1.65,-9.3,-2.68,-11.98,255 190 086
C5Ia,13.2,7.83E+05,3.00E+03,3180,1.65,-7.3,-2.68,-9.98,255 190 086
C5Ib,10.6,9.41E+04,1.04E+03,3180,1.65,-5,-2.68,-7.68,255 190 086
C5II,8.1,1.13E+04,3.61E+02,3180,1.65,-2.7,-2.68,-5.38,255 211 143
C5III,5.5,1.49E+03,1.31E+02,3180,1.65,-0.5,-2.68,-3.18,255 237 189
C5IV,3,2.27E+01,1.28E+01,3582,1.46,3.2,-1.84,1.36,255 223 189
C5V,0.5,5.20E-03,1.93E-01,3582,1.46,12.3,-1.84,10.46,255 209 174
C5VI,0.4,3.28E-02,4.85E-01,3582,1.46,10.3,-1.84,8.46,255 209 174
C6Ia0,14.8,1.09E+07,1.36E+04,2883,1.8,-9.3,-3.54,-12.84,255 182 064
C6Ia,12.4,1.57E+06,5.18E+03,2883,1.8,-7.2,-3.54,-10.74,255 182 064
C6Ib,10,2.73E+05,2.16E+03,2883,1.8,-5.3,-3.54,-8.84,255 182 064
C6II,7.6,2.73E+04,6.83E+02,2883,1.8,-2.8,-3.54,-6.34,255 205 130
C6III,5.2,3.95E+03,2.60E+02,2883,1.8,-0.7,-3.54,-4.24,255 236 180
C6IV,2.8,4.86E+01,2.36E+01,3187,1.64,3.2,-2.67,0.53,255 218 179
C6V,0.4,1.34E-03,1.24E-01,3187,1.64,14.6,-2.67,11.93,255 206 158
C6VI,0.3,3.07E-03,1.87E-01,3187,1.64,13.7,-2.67,11.03,255 206 158
C7Ia0,13.9,2.85E+07,2.74E+04,2585,1.98,-9.2,-4.69,-13.89,255 173 043
C7Ia,11.6,4.12E+06,1.04E+04,2585,1.98,-7.1,-4.69,-11.79,255 173 043
C7Ib,9.3,8.61E+05,4.77E+03,2585,1.98,-5.4,-4.69,-10.09,255 173 043
C7II,7.1,8.61E+04,1.51E+03,2585,1.98,-2.9,-4.69,-7.59,255 200 117
C7III,4.8,9.44E+03,4.99E+02,2585,1.98,-0.5,-4.69,-5.19,255 235 172
C7IV,2.5,1.46E+02,5.33E+01,2791,1.86,3.2,-3.86,-0.66,255 214 170
C7V,0.3,5.30E-04,1.01E-01,2791,1.86,16.8,-3.86,12.94,255 204 141
C7VI,0.3,5.30E-04,1.01E-01,2791,1.86,16.8,-3.86,12.94,255 204 141
C8Ia0,12.9,1.08E+08,6.82E+04,2288,2.17,-9.1,-6.23,-15.33,255 165 021
C8Ia,10.8,1.56E+07,2.59E+04,2288,2.17,-7,-6.23,-13.23,255 165 021
C8Ib,8.7,3.26E+06,1.18E+04,2288,2.17,-5.3,-6.23,-11.53,255 165 021
C8II,6.6,3.58E+05,3.92E+03,2288,2.17,-2.9,-6.23,-9.13,255 195 104
C8III,4.4,2.97E+04,1.13E+03,2288,2.17,-0.2,-6.23,-6.43,255 234 163
C8IV,2.3,6.70E+02,1.55E+02,2396,2.1,3.3,-5.61,-2.31,255 209 160
C8V,0.2,9.68E-04,1.86E-01,2396,2.1,17.9,-5.61,12.29,255 201 125
C8VI,0.2,6.70E-04,1.55E-01,2396,2.1,18.3,-5.61,12.69,255 201 125
C9Ia0,12,7.11E+08,2.31E+05,1990,2.4,-9,-8.38,-17.38,255 157 000
C9Ia,10,1.03E+08,8.79E+04,1990,2.4,-6.9,-8.38,-15.28,255 157 000
C9Ib,8,2.15E+07,4.02E+04,1990,2.4,-5.2,-8.38,-13.58,255 157 000
C9II,6,2.83E+06,1.46E+04,1990,2.4,-3,-8.38,-11.38,255 190 091
C9III,4.1,1.79E+05,3.67E+03,1990,2.4,0,-8.38,-8.38,255 233 154
C9IV,2.1,7.91E+03,7.64E+02,2000,2.39,3.3,-8.3,-5,255 205 150
C9V,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,255 198 108
C9VI,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,255 198 108
S0Ia0,15.8,1.90E+06,3.46E+03,3700,1.41,-9.3,-1.65,-10.95,255 204 143
S0Ia,13.3,2.74E+05,1.31E+03,3700,1.41,-7.2,-1.65,-8.85,255 204 143
S0Ib,10.7,5.73E+04,6.00E+02,3700,1.41,-5.5,-1.65,-7.15,255 204 143
S0II,8.2,3.96E+03,1.58E+02,3700,1.41,-2.6,-1.65,-4.25,255 207 133
S0III,5.6,6.89E+02,6.58E+01,3700,1.41,-0.7,-1.65,-2.35,255 203 132
S0IV,3.1,2.60E+01,1.43E+01,3500,1.49,3.2,-1.99,1.21,255 213 160
S0V,0.5,1.25E-01,9.90E-01,3500,1.49,9,-1.99,7.01,255 195 139
S0VI,0.2,3.76E-02,5.44E-01,3500,1.49,10.3,-1.99,8.31,255 195 139
S1Ia0,15.1,2.56E+06,4.46E+03,3510,1.49,-9.3,-1.97,-11.27,255 202 138
S1Ia,12.7,3.37E+05,1.62E+03,3510,1.49,-7.1,-1.97,-9.07,255 202 138
S1Ib,10.2,7.73E+04,7.75E+02,3510,1.49,-5.5,-1.97,-7.47,255 202 138
S1II,7.8,5.86E+03,2.13E+02,3510,1.49,-2.7,-1.97,-4.67,255 205 128
S1III,5.3,9.29E+02,8.50E+01,3510,1.49,-0.7,-1.97,-2.67,255 200 121
S1IV,2.9,3.55E+01,1.84E+01,3333,1.57,3.2,-2.33,0.87,255 212 159
S1V,0.5,6.18E-02,7.68E-01,3333,1.57,10.1,-2.33,7.77,255 204 142
S1VI,0.2,1.86E-02,4.22E-01,3333,1.57,11.4,-2.33,9.07,255 204 142
S2Ia0,14.5,3.65E+06,5.95E+03,3320,1.58,-9.3,-2.36,-11.66,255 193 104
S2Ia,12.1,4.81E+05,2.16E+03,3320,1.58,-7.1,-2.36,-9.46,255 193 104
S2Ib,9.8,1.10E+05,1.03E+03,3320,1.58,-5.5,-2.36,-7.86,255 193 104
S2II,7.4,8.36E+03,2.85E+02,3320,1.58,-2.7,-2.36,-5.06,255 203 124
S2III,5.1,1.21E+03,1.08E+02,3320,1.58,-0.6,-2.36,-2.96,255 198 118
S2IV,2.7,5.09E+01,2.44E+01,3167,1.65,3.2,-2.72,0.48,255 211 157
S2V,0.4,3.21E-02,6.14E-01,3167,1.65,11.2,-2.72,8.48,255 196 131
S2VI,0.2,8.85E-03,3.22E-01,3167,1.65,12.6,-2.72,9.88,255 196 131
S3Ia0,13.8,5.07E+06,7.89E+03,3130,1.67,-9.2,-2.81,-12.01,255 192 118
S3Ia,11.6,7.33E+05,3.00E+03,3130,1.67,-7.1,-2.81,-9.91,255 192 118
S3Ib,9.3,1.68E+05,1.44E+03,3130,1.67,-5.5,-2.81,-8.31,255 192 118
S3II,7.1,1.40E+04,4.14E+02,3130,1.67,-2.8,-2.81,-5.61,255 201 119
S3III,4.8,1.84E+03,1.50E+02,3130,1.67,-0.6,-2.81,-3.41,255 200 119
S3IV,2.6,7.76E+01,3.36E+01,3000,1.74,3.2,-3.18,0.02,255 210 156
S3V,0.3,1.78E-02,5.09E-01,3000,1.74,12.3,-3.18,9.12,255 206 129
S3VI,0.2,4.90E-03,2.67E-01,3000,1.74,13.7,-3.18,10.52,255 206 129
S4Ia0,13.2,8.38E+06,1.15E+04,2940,1.77,-9.2,-3.36,-12.56,255 185 104
S4Ia,11,1.10E+06,4.18E+03,2940,1.77,-7,-3.36,-10.36,255 185 104
S4Ib,8.9,2.77E+05,2.09E+03,2940,1.77,-5.5,-3.36,-8.86,255 185 104
S4II,6.7,2.31E+04,6.04E+02,2940,1.77,-2.8,-3.36,-6.16,255 199 114
S4III,4.6,2.77E+03,2.09E+02,2940,1.77,-0.5,-3.36,-3.86,255 206 127
S4IV,2.4,1.27E+02,4.83E+01,2833,1.83,3.2,-3.71,-0.51,255 209 155
S4V,0.3,1.06E-02,4.40E-01,2833,1.83,13.4,-3.71,9.69,255 201 127
S4VI,0.1,2.66E-03,2.21E-01,2833,1.83,14.9,-3.71,11.19,255 201 127
S5Ia0,12.5,1.53E+07,1.78E+04,2750,1.88,-9.2,-4.01,-13.21,255 178 078
S5Ia,10.5,2.02E+06,6.45E+03,2750,1.88,-7,-4.01,-11.01,255 178 078
S5Ib,8.4,5.07E+05,3.23E+03,2750,1.88,-5.5,-4.01,-9.51,255 178 078
S5II,6.4,4.62E+04,9.76E+02,2750,1.88,-2.9,-4.01,-6.91,255 197 110
S5III,4.3,5.07E+03,3.23E+02,2750,1.88,-0.5,-4.01,-4.51,255 197 124
S5IV,2.3,2.07E+02,6.94E+01,2667,1.93,3.3,-4.34,-1.04,255 209 154
S5V,0.2,6.24E-03,3.81E-01,2667,1.93,14.6,-4.34,10.26,255 204 111
S5VI,0.1,1.72E-03,2.00E-01,2667,1.93,16,-4.34,11.66,255 204 111
S6Ia0,12.4,2.88E+07,2.81E+04,2560,2,-9.1,-4.8,-13.9,255 171 052
S6Ia,10.3,4.17E+06,1.07E+04,2560,2,-7,-4.8,-11.8,255 171 052
S6Ib,8.3,9.55E+05,5.12E+03,2560,2,-5.4,-4.8,-10.2,255 171 052
S6II,6.3,9.55E+04,1.62E+03,2560,2,-2.9,-4.8,-7.7,255 195 105
S6III,4.2,9.55E+03,5.12E+02,2560,2,-0.4,-4.8,-5.2,255 178 121
S6IV,2.2,4.10E+02,1.11E+02,2500,2.03,3.3,-5.08,-1.78,255 208 153
S6V,0.2,4.50E-03,3.68E-01,2500,2.03,15.7,-5.08,10.62,255 195 112
S6VI,0.1,1.63E-03,2.22E-01,2500,2.03,16.8,-5.08,11.72,255 195 112
S7Ia0,12.3,6.96E+07,5.10E+04,2370,2.12,-9.1,-5.76,-14.86,255 164 026
S7Ia,10.2,9.18E+06,1.85E+04,2370,2.12,-6.9,-5.76,-12.66,255 164 026
S7Ib,8.2,2.10E+06,8.87E+03,2370,2.12,-5.3,-5.76,-11.06,255 164 026
S7II,6.2,2.53E+05,3.07E+03,2370,2.12,-3,-5.76,-8.76,255 193 100
S7III,4.2,2.10E+04,8.87E+02,2370,2.12,-0.3,-5.76,-6.06,255 165 097
S7IV,2.1,9.26E+02,1.92E+02,2333,2.14,3.3,-5.97,-2.67,255 207 152
S7V,0.1,3.69E-03,3.83E-01,2333,2.14,16.8,-5.97,10.83,255 197 111
S7VI,0.1,1.94E-03,2.78E-01,2333,2.14,17.5,-5.97,11.53,255 197 111
S8Ia0,12.1,2.05E+08,1.03E+05,2180,2.25,-9.1,-6.93,-16.03,255 157 000
S8Ia,10.1,2.70E+07,3.76E+04,2180,2.25,-6.9,-6.93,-13.83,255 157 000
S8Ib,8.1,5.15E+06,1.64E+04,2180,2.25,-5.1,-6.93,-12.03,255 157 000
S8II,6.1,7.44E+05,6.23E+03,2180,2.25,-3,-6.93,-9.93,255 192 096
S8III,4.1,5.15E+04,1.64E+03,2180,2.25,-0.1,-6.93,-7.03,255 167 097
S8IV,2.1,2.44E+03,3.61E+02,2167,2.26,3.3,-7.02,-3.72,255 206 151
S8V,0.1,3.53E-03,4.34E-01,2167,2.26,17.9,-7.02,10.88,255 198 109
S8VI,0.1,2.44E-03,3.61E-01,2167,2.26,18.3,-7.02,11.28,255 198 109
S9Ia0,12,7.11E+08,2.31E+05,1990,2.4,-9,-8.38,-17.38,255 157 000
S9Ia,10,1.03E+08,8.79E+04,1990,2.4,-6.9,-8.38,-15.28,255 157 000
S9Ib,8,1.79E+07,3.67E+04,1990,2.4,-5,-8.38,-13.38,255 157 000
S9II,6,2.83E+06,1.46E+04,1990,2.4,-3,-8.38,-11.38,255 190 091
S9III,4.1,1.79E+05,3.67E+03,1990,2.4,0,-8.38,-8.38,255 233 154
S9IV,2.1,7.91E+03,7.64E+02,2000,2.39,3.3,-8.3,-5,255 205 150
S9V,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,255 198 108
S9VI,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,255 198 108
DA0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DA1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DA2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DA3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DA4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DA5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DA6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DA7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DA8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DA9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DB0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DB1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DB2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DB3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DB4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DB5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DB6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DB7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DB8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DB9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DC0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DC1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DC2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DC3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DC4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DC5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DC6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DC7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DC8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DC9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DO0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DO1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DO2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DO3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DO4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DO5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DO6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DO7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DO8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DO9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DQ0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DQ1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DQ2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DQ3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DQ4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DQ5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DQ6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DQ7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DQ8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DQ9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DZ0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DZ1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DZ2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DZ3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DZ4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DZ5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DZ6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DZ7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DZ8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DZ9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
